# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 22 12:47:16 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_disc:        Year of Discovery
#
loc_rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbeccen,st_dist,st_teff,st_rad,pl_eqt,pl_rade,pl_disc
1,11 Com,b,Radial Velocity,1,326.03000000,0.231000,110.62,4742.00,19.00,,,2007
2,11 UMi,b,Radial Velocity,1,516.22000000,0.080000,119.47,4340.00,24.08,,,2009
3,14 And,b,Radial Velocity,1,185.84000000,0.000000,76.39,4813.00,11.00,,,2008
4,14 Her,b,Radial Velocity,1,1773.40000000,0.369000,18.15,5311.00,,,,2002
5,16 Cyg B,b,Radial Velocity,1,798.50000000,0.681000,21.41,5674.00,,,,1996
6,18 Del,b,Radial Velocity,1,993.30000000,0.080000,73.10,4979.00,8.50,,,2008
7,1RXS J160929.1-210524,b,Imaging,1,,,145.00,4060.00,,1700,,2008
8,24 Sex,b,Radial Velocity,2,452.80000000,0.090000,74.79,5098.00,4.90,,,2010
9,24 Sex,c,Radial Velocity,2,883.00000000,0.290000,74.79,5098.00,4.90,,,2010
10,2MASS J01225093-2439505,b,Imaging,1,,,36.00,3530.00,,,,2013
11,2MASS J02192210-3925225,b,Imaging,1,,,39.40,3064.00,0.28,,16.141,2015
12,2MASS J04414489+2301513,b,Imaging,1,,,140.00,,,,,2010
13,2MASS J12073346-3932539,b,Imaging,1,,,52.40,,,1150,,2004
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416.00000000,,,,,,,2015
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.50000000,0.260000,25.00,2300.00,0.12,2075,10.310,2009
16,2MASS J22362452+4751425,b,Imaging,1,,,74.00,4045.00,,,,2016
17,30 Ari B,b,Radial Velocity,1,335.10000000,0.289000,39.43,6300.00,1.13,,,2009
18,4 UMa,b,Radial Velocity,1,269.30000000,0.432000,77.40,4415.00,18.11,,,2006
19,42 Dra,b,Radial Velocity,1,479.10000000,0.380000,97.28,4200.00,22.03,,,2008
20,47 UMa,b,Radial Velocity,3,1078.00000000,0.032000,14.08,5892.00,1.23,,,1996
21,47 UMa,c,Radial Velocity,3,2391.00000000,0.098000,14.08,5892.00,1.23,,,2001
22,47 UMa,d,Radial Velocity,3,14002.00000000,0.160000,14.08,5892.00,1.23,,,2009
23,51 Eri,b,Imaging,1,,,29.40,,,700,,2015
24,51 Peg,b,Radial Velocity,1,4.23078500,0.013000,15.36,5793.00,1.20,,,1995
25,55 Cnc,b,Radial Velocity,5,14.65152000,0.003400,12.53,5196.00,0.94,,,1996
26,55 Cnc,c,Radial Velocity,5,44.41750000,0.020000,12.53,5196.00,0.94,,,2004
27,55 Cnc,d,Radial Velocity,5,4825.00000000,0.019000,12.53,5196.00,0.94,,,2002
28,55 Cnc,e,Radial Velocity,5,0.73653900,,12.53,5196.00,0.94,,1.910,2004
29,55 Cnc,f,Radial Velocity,5,262.00000000,0.305000,12.53,5196.00,0.94,,,2007
30,6 Lyn,b,Radial Velocity,1,874.77400000,0.125000,56.95,4978.00,5.20,,,2008
31,61 Vir,b,Radial Velocity,3,4.21500000,0.120000,8.52,5577.00,0.96,,,2009
32,61 Vir,c,Radial Velocity,3,38.02100000,0.140000,8.52,5577.00,0.96,,,2009
33,61 Vir,d,Radial Velocity,3,123.01000000,0.350000,8.52,5577.00,0.96,,,2009
34,7 CMa,b,Radial Velocity,1,796.00000000,0.220000,19.84,4792.00,2.30,,,2011
35,70 Vir,b,Radial Velocity,1,116.69260000,0.399000,18.11,5439.00,1.94,,,1996
36,75 Cet,b,Radial Velocity,1,691.90000000,0.117000,81.50,4846.00,10.50,,,2012
37,8 UMi,b,Radial Velocity,1,93.40000000,0.060000,159.10,4847.40,9.90,,,2015
38,81 Cet,b,Radial Velocity,1,952.70000000,0.206000,97.18,4785.00,11.00,,,2008
39,91 Aqr,b,Radial Velocity,1,181.40000000,0.027000,45.52,4665.00,11.00,,,2013
